MonthsActive,AvgOrderValue,NumOrdersLastQuarter,DaysSinceLastOrder,SupportTicketsFiled,Churned
7,34.12,7,8,2,0
45,23.38,3,57,1,0
24,94.56,7,37,1,0
39,46.34,7,0,0,0
3,39.04,3,41,2,0
38,48.05,7,14,0,0
22,51.2,8,7,0,1
49,45.07,4,39,1,0
45,48.48,4,60,0,0
44,54.75,9,6,1,0
52,48.73,4,12,0,0
51,89.45,7,27,0,0
59,51.81,7,1,1,0
9,53.22,5,3,0,0
10,30.61,8,8,1,0
13,143.58,3,17,1,0
51,47.96,4,23,0,0
53,69.54,3,1,0,0
34,37.37,3,23,1,0
34,32.5,8,5,0,1
60,29.57,1,11,0,0
60,42.43,4,21,0,0
34,67.44,11,5,0,0
23,67.94,1,6,1,0
15,76.43,11,10,0,0
22,64.27,11,15,0,0
57,53.23,8,2,0,0
32,65.65,5,14,2,0
53,63.48,4,6,0,0
34,22.47,3,4,0,0
50,53.57,3,3,0,0
34,83.43,7,20,0,0
52,70.51,5,29,0,0
53,28.07,2,27,1,0
53,51.97,6,19,1,0
16,93.93,9,37,1,1
23,56.28,3,7,0,0
26,49.35,9,8,0,0
36,59.52,5,21,1,0
12,46.8,2,1,0,0
13,54.19,4,3,1,0
47,51.09,6,14,0,0
11,42.86,8,8,1,0
11,37.98,5,15,0,0
50,44.73,2,34,1,0
6,76.95,6,59,2,1
28,42.09,5,10,0,0
27,145.13,4,12,0,0
50,65.25,6,1,0,0
28,66.59,4,4,1,0
56,45.49,4,22,1,0
25,115.61,8,2,0,0
4,46.86,2,17,0,0
23,69.37,4,20,0,0
2,42.5,7,5,1,0
8,52.51,13,19,0,0
52,45.62,4,14,0,0
3,56.96,7,9,0,0
6,36.49,3,8,1,0
47,55.18,2,2,0,0
49,104.75,8,12,0,0
52,66.16,3,49,0,0
8,52.62,4,7,0,0
14,66.96,9,16,0,0
31,69.68,6,5,0,0
13,54.99,5,11,0,0
15,52.43,3,15,1,0
42,75.33,3,5,0,0
52,68.48,4,26,0,0
20,105.94,3,51,0,0
43,35.73,4,13,1,1
22,45.25,6,4,1,0
19,35.77,3,34,1,0
11,62.52,7,39,1,0
5,30.34,6,0,0,0
40,47.91,5,5,1,0
2,101.1,5,6,0,0
60,88.83,6,1,0,0
27,38.84,4,3,0,0
4,87.22,4,27,1,0
32,57.87,3,15,0,0
45,71.14,5,70,2,1
54,78.1,3,2,1,0
2,50.78,8,12,1,0
12,37.75,4,8,1,0
33,35.12,5,38,1,0
25,106.73,4,5,0,0
8,51.98,6,9,0,0
21,67.83,2,14,0,0
44,46.48,7,2,0,0
41,49.69,7,6,1,0
55,42.36,5,51,0,0
20,37.4,4,2,0,0
